x,y,z,v
-21,20,13,0
-21,19,13,0
-21,18,13,0
-21,17,13,0
-21,16,13,0
-21,15,13,20
-21,14,13,20
-21,13,13,20
-21,12,13,20
-21,11,13,20
-21,10,13,20
-21,9,13,20
-21,8,13,20
-21,7,13,20
-21,6,13,20
-21,5,13,20
-21,4,13,20
-21,3,13,20
-21,2,13,20
-21,1,13,20
-21,0,13,20
-20,0,13,20
-20,1,13,20
-20,2,13,20
-20,3,13,20
-20,4,13,20
-20,5,13,20
-20,6,13,20
-20,7,13,20
-20,8,13,20
-20,9,13,20
-20,10,13,20
-20,11,13,20
-20,12,13,20
-20,13,13,20
-20,14,13,20
-20,15,13,20
-20,16,13,20
-20,17,13,0
-20,18,13,0
-20,19,13,0
-20,20,13,0
-20,21,13,0
-20,22,13,0
-20,23,13,0
-20,24,13,0
-20,25,13,0
-20,26,13,0
-20,27,13,0
-20,28,13,0
-20,29,13,0
-20,30,13,0
-20,31,13,0
-20,32,13,0
-20,33,13,0
-20,34,13,0
-20,35,13,0
-20,36,13,0
-20,37,13,0
-20,38,13,0
-20,39,13,0
-19,39,13,0
-19,38,13,0
-19,37,13,0
-19,36,13,0
-19,35,13,0
-19,34,13,0
-19,33,13,0
-19,32,13,0
-19,31,13,0
-19,30,13,0
-19,29,13,0
-19,28,13,0
-19,27,13,0
-19,26,13,0
-19,25,13,0
-19,24,13,0
-19,23,13,0
-19,22,13,0
-19,21,13,0
-19,20,13,0
-19,19,13,0
-19,18,13,0
-19,17,13,20
-19,16,13,20
-19,15,13,20
-19,14,13,20
-19,13,13,20
-19,12,13,20
-19,11,13,20
-19,10,13,20
-19,9,13,20
-19,8,13,20
-19,7,13,20
-19,6,13,20
-19,5,13,20
-19,4,13,20
-19,3,13,20
-19,2,13,20
-19,1,13,20
-19,0,13,20
-18,0,13,20
-18,1,13,20
-18,2,13,20
-18,3,13,20
-18,4,13,20
-18,5,13,20
-18,6,13,20
-18,7,13,20
-18,8,13,20
-18,9,13,20
-18,10,13,20
-18,11,13,20
-18,12,13,20
-18,13,13,20
-18,14,13,20
-18,15,13,20
-18,16,13,20
-18,17,13,20
-18,18,13,20
-18,19,13,0
-18,20,13,0
-18,21,13,0
-18,22,13,0
-18,23,13,0
-18,24,13,0
-18,25,13,0
-18,26,13,0
-18,27,13,0
-18,28,13,0
-18,29,13,0
-18,30,13,0
-18,31,13,0
-18,32,13,0
-18,33,13,0
-18,34,13,0
-18,35,13,0
-18,36,13,0
-18,37,13,0
-18,38,13,0
-18,39,13,0
-17,39,13,0
-17,38,13,0
-17,37,13,0
-17,36,13,0
-17,35,13,0
-17,34,13,0
-17,33,13,0
-17,32,13,0
-17,31,13,0
-17,30,13,0
-17,29,13,0
-17,28,13,0
-17,27,13,0
-17,26,13,0
-17,25,13,0
-17,24,13,0
-17,23,13,0
-17,22,13,0
-17,21,13,0
-17,20,13,0
-17,19,13,0
-17,18,13,20
-17,17,13,20
-17,16,13,20
-17,15,13,20
-17,14,13,20
-17,13,13,20
-17,12,13,20
-17,11,13,20
-17,10,13,20
-17,9,13,20
-17,8,13,20
-17,7,13,20
-17,6,13,20
-17,5,13,20
-17,4,13,20
-17,3,13,20
-17,2,13,20
-17,1,13,20
-17,0,13,20
-16,0,13,20
-16,1,13,20
-16,2,13,20
-16,3,13,20
-16,4,13,20
-16,5,13,20
-16,6,13,20
-16,7,13,20
-16,8,13,20
-16,9,13,20
-16,10,13,20
-16,11,13,20
-16,12,13,20
-16,13,13,20
-16,14,13,20
-16,15,13,20
-16,16,13,20
-16,17,13,20
-16,18,13,18
-16,19,13,19
-16,20,13,0
-16,21,13,0
-16,22,13,0
-16,23,13,0
-16,24,13,0
-16,25,13,0
-16,26,13,0
-16,27,13,0
-16,28,13,0
-16,29,13,0
-16,30,13,0
-16,31,13,0
-16,32,13,0
-16,33,13,0
-16,34,13,0
-16,35,13,0
-16,36,13,0
-16,37,13,0
-16,38,13,0
-16,39,13,0
-15,39,13,0
-15,38,13,0
-15,37,13,0
-15,36,13,0
-15,35,13,0
-15,34,13,0
-15,33,13,0
-15,32,13,0
-15,31,13,0
-15,30,13,0
-15,29,13,0
-15,28,13,0
-15,27,13,0
-15,26,13,0
-15,25,13,0
-15,24,13,0
-15,23,13,0
-15,22,13,0
-15,21,13,0
-15,20,13,0
-15,19,13,20
-15,18,13,20
-15,17,13,20
-15,16,13,20
-15,15,13,20
-15,14,13,20
-15,13,13,20
-15,12,13,20
-15,11,13,20
-15,10,13,20
-15,9,13,20
-15,8,13,20
-15,7,13,20
-15,6,13,20
-15,5,13,20
-15,4,13,20
-15,3,13,20
-15,2,13,20
-15,1,13,20
-15,0,13,20
-14,0,13,20
-14,1,13,20
-14,2,13,20
-14,3,13,20
-14,4,13,20
-14,5,13,20
-14,6,13,20
-14,7,13,20
-14,8,13,20
-14,9,13,20
-14,10,13,20
-14,11,13,20
-14,12,13,20
-14,13,13,20
-14,14,13,20
-14,15,13,20
-14,16,13,20
-14,17,13,20
-14,18,13,20
-14,19,13,20
-14,20,13,2
-14,21,13,0
-14,22,13,0
-14,23,13,0
-14,24,13,0
-14,25,13,0
-14,26,13,0
-14,27,13,0
-14,28,13,0
-14,29,13,0
-14,30,13,0
-14,31,13,0
-14,32,13,0
-14,33,13,0
-14,34,13,0
-14,35,13,0
-14,36,13,0
-14,37,13,0
-14,38,13,0
-14,39,13,0
-13,39,13,0
-13,38,13,0
-13,37,13,0
-13,36,13,0
-13,35,13,0
-13,34,13,0
-13,33,13,0
-13,32,13,0
-13,31,13,0
-13,30,13,0
-13,29,13,0
